subpref_cod,subpref,pop_1980,pop_1990,pop_2000,pop_2010
26,Aricanduva/Formosa/Carrão,298116,281788,266838,267702
10,Butantã,285031,366737,377576,428217
17,Campo Limpo,261333,395544,505969,607105
19,Capela do Socorro,281029,405769,563922,594930
04,Casa Verde/Cachoeirinha,298093,312670,313323,309376
16,Cidade Ademar,282707,316795,370797,410998
31,Cidade Tiradentes,8603,96281,190657,211501
22,Ermelino Matarazzo,177307,198311,204951,207509
03,Freguesia/Brasilândia,317019,354263,392251,407245
28,Guaianases,119835,194180,256319,268508
13,Ipiranga,398028,423168,429235,463804
24,Itaim Paulista,202710,287569,359215,373127
27,Itaquera,256383,431191,489502,523848
15,Jabaquara,196151,214350,214095,223780
06,Jaçanã/Tremembé,176895,211905,255612,291867
08,Lapa,319806,296122,270656,305526
18,M'Boi Mirim,271214,382657,484966,563305
25,Mooca,409374,353470,308161,343980
20,Parelheiros,36150,61586,111240,139441
21,Penha,462666,475630,475879,474659
01,Perus,41546,58709,109116,146046
11,Pinheiros,378617,339630,272574,289743
02,Pirituba,249552,315876,390530,437592
05,Santana/Tucuruvi,342815,353585,327135,324815
14,Santo Amaro,239371,235560,218558,238025
30,São Mateus,221459,300446,381718,426794
23,São Miguel,260942,322581,378438,369496
32,Sapopemba,178989,257617,282239,284524
09,Sé,526170,458677,373914,431106
07,Vila Maria/Vila Guilherme,362503,340427,304393,297713
12,Vila Mariana,351605,336758,313036,344632
29,Vila Prudente,281207,266333,241437,246589
